 .PU ;0;;;;;;;
.V_base;23;;;;;;;
.S_base;100;;;;;;;
.Branch_count;16;;;;;;;
.Sectionalizing_count;13;;;;;;;
.Tie_count;3;;;;;;;
.Nodes;14;;;;;;;
.Feeders;1;;;;;;;
.Feeder_node_ids;1;;;;;;;
.Branch;Src_bus;Rec_bus;R;X;PL_kw;QL_kvar;S_NS;.Feeder_node_ids
1;1;2;0.075;0.1;2;1.6;1;1
2;2;3;0.08;0.11;3;1.5;1;
3;2;4;0.09;0.18;2;0.8;1;
4;4;5;0.04;0.04;1.5;1.2;1;
5;1;6;0.11;0.11;4;2.7;1;
6;6;7;0.08;0.11;5;3;1;
7;6;8;0.11;0.11;1;0.9;1;
8;7;9;0.11;0.11;0.6;0.1;1;
9;7;10;0.08;0.11;4.5;2;1;
10;1;11;0.11;0.11;1;0.9;1;
11;11;12;0.09;0.12;1;0.7;1;
12;11;13;0.08;0.11;1;0.9;1;
13;13;14;0.04;0.04;2.1;1;1;
14;3;9;0.04;0.04;0.6;0.1;0;
15;8;12;0.04;0.04;1;0.7;0;
16;5;14;0.12;0.12;2.1;1;0;
