.PU;0;;;;;;;
.V_base;13.8;;;;;;;
.S_base;5.68;;;;;;;
.Branch_count;216;;;;;;;
.Sectionalizing_count;201;;;;;;;
.Tie_count;15;;;;;;;
.Nodes;202;;;;;;;
.Feeders;1;;;;;;;
.Feder_node_ids;1;;;;;;;
.Branch;Src_bus;Rec_bus;R;X;PL_kw;QL_kvar;S_NS;.Feder_node_ids
1;201;202;0.01883;0.04232;38.25;23.7;1;1
2;202;2;0.065905;0.14812;0;0;1;
3;2;3;0.03766;0.08464;63.75;39.5;1;
4;4;5;0.016947;0.038088;95.2;58.99;1;
5;5;8;0.01883;0.04232;63.75;39.5;1;
6;15;16;0.074728;0.03912;63.75;39.5;1;
7;15;17;0.18682;0.0978;63.75;39.5;1;
8;17;18;0.074728;0.03912;255;158.01;1;
9;19;20;0.041426;0.093104;0;0;1;
10;21;22;0.0065905;0.014812;255;158.01;1;
11;22;23;0.0065905;0.014812;382.5;237.02;1;
12;27;28;0.046705;0.02445;95.63;59.25;1;
13;28;29;0.046705;0.02445;95.63;59.25;1;
14;29;30;0.046705;0.02445;0;0;1;
15;30;31;0.059416;0.02026;350.63;217.26;1;
16;30;32;0.089124;0.03039;350.63;217.26;1;
17;27;33;0.09341;0.0489;0;0;1;
18;38;39;0.037135;0.0126625;255;158.01;1;
19;24;38;0.009415;0.02116;0;0;1;
20;38;40;0.009415;0.02116;0;0;1;
21;40;43;0.059416;0.02026;0;0;1;
22;40;41;0.009415;0.02116;191.25;118.51;1;
23;41;42;0.009415;0.02116;95.63;59.25;1;
24;42;48;0.0141225;0.03174;573.75;355.52;1;
25;48;49;0.013181;0.029624;191.25;118.51;1;
26;49;50;0.011298;0.025392;255;158.01;1;
27;50;51;0.011298;0.025392;765;474.03;1;
28;51;52;0.011298;0.025392;255;158.01;1;
29;52;53;0.011298;0.025392;0;0;1;
30;3;6;0.01883;0.04232;0;0;1;
31;7;4;0.01883;0.04232;38.25;23.7;1;
32;8;11;0.01883;0.04232;0;0;1;
33;12;19;0.03766;0.08464;0;0;1;
34;25;24;0.024479;0.055016;191.25;118.51;1;
35;13;10;0.05935;0.04654;510;316.02;1;
36;9;15;0.09341;0.0489;127.5;79.01;1;
37;14;9;0.046705;0.02445;63.75;39.5;1;
38;26;27;0.065387;0.03423;51;31.6;1;
39;36;34;0.037364;0.01956;95.63;59.25;1;
40;37;35;0.037364;0.01956;63.75;39.5;1;
41;46;44;0.037135;0.0126625;605.63;375.27;1;
42;47;45;0.037135;0.0126625;63.75;39.5;1;
43;53;56;0.07427;0.025325;0;0;1;
44;54;55;0.103978;0.035455;318.75;197.51;1;
45;57;58;0.01597;0.04095;25.5;15.8;1;
46;60;61;0.041522;0.10647;0;0;1;
47;61;63;0.019164;0.04914;95.63;59.25;1;
48;68;69;0.111405;0.0379875;89.25;55.3;1;
49;70;71;0.081697;0.0278575;38.25;23.7;1;
50;68;73;0.020713;0.046552;0;0;1;
51;73;75;0.011298;0.025392;595;368.69;1;
52;75;77;0.007532;0.016928;0;0;1;
53;91;92;0.056046;0.027924;216.75;134.31;1;
54;92;93;0.028023;0.013962;95.63;59.25;1;
55;93;94;0.028023;0.013962;191.25;118.51;1;
56;94;95;0.028023;0.013962;63.75;39.5;1;
57;95;96;0.0513755;0.025597;382.5;237.02;1;
58;77;79;0.009415;0.02116;382.5;237.02;1;
59;82;83;0.013181;0.029624;38.25;23.7;1;
60;82;84;0.0047075;0.01058;255;158.01;1;
61;84;85;0.005649;0.012696;446.25;276.52;1;
62;85;86;0.009415;0.02116;382.5;237.02;1;
63;86;97;0.020713;0.046552;0;0;1;
64;98;100;0.005649;0.012696;0;0;1;
65;98;99;0.0141225;0.03174;63.75;39.5;1;
66;100;105;0.0065905;0.014812;106.25;65.84;1;
67;105;106;0.0103565;0.023276;127.5;79.01;1;
68;100;103;0.0047075;0.01058;127.5;79.01;1;
69;103;104;0.005649;0.012696;95.63;59.25;1;
70;104;107;0.011298;0.025392;95.63;59.25;1;
71;108;109;0.007532;0.016928;127.5;79.01;1;
72;109;110;0.007532;0.016928;127.5;79.01;1;
73;110;112;0.007532;0.016928;0;0;1;
74;112;113;0.005649;0.012696;318.75;197.51;1;
75;113;114;0.007532;0.016928;350.63;217.26;1;
76;114;115;0.009415;0.02116;446.25;276.52;1;
77;112;117;0.007532;0.016928;127.5;79.01;1;
78;117;118;0.007532;0.016928;63.75;39.5;1;
79;118;119;0.0065905;0.014812;382.5;237.02;1;
80;119;120;0.005649;0.012696;0;0;1;
81;122;123;0.015064;0.033856;191.25;118.51;1;
82;123;125;0.009415;0.02116;233.75;144.84;1;
83;125;126;0.009415;0.02116;573.75;355.52;1;
84;125;127;0.015064;0.033856;276.25;171.18;1;
85;127;128;0.013181;0.029624;255;158.01;1;
86;128;129;0.013181;0.029624;393.13;243.6;1;
87;58;59;0.099014;0.25389;0;0;1;
88;62;68;0.01883;0.04232;0;0;1;
89;79;80;0.011298;0.025392;0;0;1;
90;121;124;0.065387;0.03003;255;158.01;1;
91;64;65;0.01597;0.04095;38.25;23.7;1;
92;66;67;0.133686;0.045585;102;63.2;1;
93;72;70;0.133686;0.045585;0;0;1;
94;76;74;0.163394;0.055715;510;316.02;1;
95;81;78;0.126259;0.0430525;350.63;217.26;1;
96;88;89;0.178248;0.06078;0;0;1;
97;87;90;0.111405;0.0379875;95.63;59.25;1;
98;102;101;0.07427;0.025325;63.75;39.5;1;
99;111;116;0.051989;0.0177275;63.75;39.5;1;
100;129;130;0.016947;0.038088;510;316.02;1;
101;133;134;0.015064;0.033856;0;0;1;
102;134;136;0.060256;0.135424;0;0;1;
103;137;138;0.020713;0.046552;0;0;1;
104;138;140;0.009415;0.02116;38.25;23.7;1;
105;140;141;0.005649;0.012696;38.25;23.7;1;
106;141;150;0.005649;0.012696;0;0;1;
107;150;152;0.005649;0.012696;63.75;39.5;1;
108;152;153;0.005649;0.012696;212.5;131.68;1;
109;153;154;0.005649;0.012696;63.75;39.5;1;
110;154;156;0.005649;0.012696;0;0;1;
111;156;157;0.028023;0.01467;63.75;39.5;1;
112;157;158;0.046705;0.02445;38.25;23.7;1;
113;156;159;0.009415;0.02116;63.75;39.5;1;
114;161;163;0.01883;0.04232;0;0;1;
115;163;165;0.005649;0.012696;446.25;276.52;1;
116;165;166;0.005649;0.012696;191.25;118.51;1;
117;166;167;0.007532;0.016928;255;158.01;1;
118;169;170;0.07122;0.055848;127.5;79.01;1;
119;169;171;0.009415;0.02116;63.75;39.5;1;
120;171;172;0.009415;0.02116;191.68;118.77;1;
121;172;174;0.009415;0.02116;0;0;1;
122;174;176;0.003766;0.008464;191.25;118.51;1;
123;176;177;0.003766;0.008464;127.5;79.01;1;
124;177;178;0.005649;0.012696;127.5;79.01;1;
125;180;181;0.046705;0.02445;255;158.01;1;
